patch_id,FIA_Group,patch_acres,acres,num_patches
15499,Oak/Hickory,16,1690645,3797
15500,Oak/Hickory,46,1690645,3797
15501,Oak/Hickory,15,1690645,3797
15502,Oak/Hickory,46,1690645,3797
15503,Oak/Hickory,1744,1690645,3797
15509,Oak/Hickory,15,1690645,3797
15513,Oak/Hickory,5,1690645,3797
15514,Oak/Hickory,187,1690645,3797
15515,Oak/Hickory,16,1690645,3797
15518,Oak/Hickory,31,1690645,3797
15519,Oak/Hickory,30,1690645,3797
15522,Oak/Hickory,31,1690645,3797
15523,Oak/Hickory,19,1690645,3797
15524,Oak/Hickory,16,1690645,3797
15525,Oak/Hickory,15,1690645,3797
15528,Oak/Hickory,16,1690645,3797
15529,Oak/Hickory,31,1690645,3797
15531,Oak/Hickory,15,1690645,3797
15532,Oak/Hickory,15,1690645,3797
15533,Oak/Hickory,16,1690645,3797
15537,Oak/Hickory,78,1690645,3797
15539,Oak/Hickory,232,1690645,3797
15542,Oak/Hickory,336,1690645,3797
15544,Oak/Hickory,30,1690645,3797
15545,Oak/Hickory,232,1690645,3797
15553,Oak/Hickory,15,1690645,3797
15554,Oak/Hickory,15,1690645,3797
15557,Oak/Hickory,15,1690645,3797
15559,Oak/Hickory,124,1690645,3797
15561,Oak/Hickory,16,1690645,3797
15562,Oak/Hickory,16,1690645,3797
15563,Oak/Hickory,76,1690645,3797
15564,Oak/Pine,46,95892,352
15564,Oak/Hickory,47,1690645,3797
15566,Oak/Hickory,46,1690645,3797
15568,Oak/Hickory,16,1690645,3797
15570,Oak/Hickory,276,1690645,3797
15575,Oak/Hickory,47,1690645,3797
15576,Oak/Hickory,15,1690645,3797
15581,Oak/Hickory,293,1690645,3797
15582,Oak/Hickory,77,1690645,3797
15586,Oak/Hickory,154,1690645,3797
15587,Elm/Ash/Cottonwood,16,18885,248
15590,Oak/Hickory,31,1690645,3797
15591,Oak/Hickory,15,1690645,3797
15594,Oak/Hickory,139,1690645,3797
15598,Oak/Hickory,16,1690645,3797
15599,Oak/Hickory,15,1690645,3797
15600,Oak/Hickory,15,1690645,3797
15601,Loblolly/Shortleaf Pine,46,375404,818
15601,Oak/Hickory,3429,1690645,3797
15602,Oak/Hickory,15,1690645,3797
15602,Elm/Ash/Cottonwood,94,18885,248
15603,Oak/Hickory,107,1690645,3797
15603,Oak/Gum/Cypress,16,57335,221
15603,Elm/Ash/Cottonwood,15,18885,248
15605,Oak/Hickory,16,1690645,3797
15612,Oak/Hickory,76,1690645,3797
15613,Oak/Hickory,15,1690645,3797
15615,Oak/Hickory,15,1690645,3797
15616,Oak/Hickory,433,1690645,3797
15620,Oak/Hickory,16,1690645,3797
15621,Elm/Ash/Cottonwood,15,18885,248
15625,Oak/Hickory,15,1690645,3797
15626,Oak/Hickory,47,1690645,3797
15627,Loblolly/Shortleaf Pine,31,375404,818
15627,Oak/Hickory,2210,1690645,3797
15629,Oak/Hickory,123,1690645,3797
15630,Maple/Beech/Birch,16,116427,163
15632,Oak/Hickory,1250,1690645,3797
15632,Oak/Gum/Cypress,15,57335,221
15634,Oak/Pine,15,95892,352
15634,Oak/Hickory,31,1690645,3797
15635,Oak/Hickory,47,1690645,3797
15638,Oak/Hickory,15,1690645,3797
15639,Elm/Ash/Cottonwood,16,18885,248
15640,Oak/Hickory,15,1690645,3797
15644,Oak/Hickory,31,1690645,3797
15647,Loblolly/Shortleaf Pine,15,375404,818
15647,Oak/Hickory,46,1690645,3797
15648,Oak/Hickory,15,1690645,3797
15651,Oak/Hickory,16,1690645,3797
15652,Oak/Hickory,16,1690645,3797
15653,Oak/Hickory,16,1690645,3797
15655,Oak/Hickory,31,1690645,3797
15657,Oak/Hickory,47,1690645,3797
15659,Oak/Hickory,16,1690645,3797
15664,Oak/Hickory,16,1690645,3797
15665,Elm/Ash/Cottonwood,16,18885,248
15666,Oak/Hickory,61,1690645,3797
15667,Oak/Hickory,93,1690645,3797
15670,Oak/Hickory,16,1690645,3797
15671,Oak/Hickory,16,1690645,3797
15674,Oak/Hickory,15,1690645,3797
15680,Oak/Hickory,125,1690645,3797
15684,Oak/Hickory,16,1690645,3797
15685,Oak/Hickory,78,1690645,3797
15686,Oak/Hickory,15,1690645,3797
15691,Oak/Hickory,16,1690645,3797
15693,Oak/Hickory,802,1690645,3797
15693,Elm/Ash/Cottonwood,16,18885,248
15695,Maple/Beech/Birch,15,116427,163
15696,Oak/Hickory,15,1690645,3797
15697,Oak/Hickory,61,1690645,3797
15698,Oak/Hickory,15,1690645,3797
15698,Elm/Ash/Cottonwood,16,18885,248
15698,Maple/Beech/Birch,15,116427,163
15705,Oak/Hickory,63,1690645,3797
15706,Loblolly/Shortleaf Pine,15,375404,818
15706,Oak/Hickory,2077,1690645,3797
15706,Elm/Ash/Cottonwood,48,18885,248
15706,Maple/Beech/Birch,16,116427,163
15708,Oak/Hickory,46,1690645,3797
15709,Oak/Hickory,16,1690645,3797
15712,Loblolly/Shortleaf Pine,15,375404,818
15713,Oak/Hickory,16,1690645,3797
15714,Oak/Hickory,16,1690645,3797
15715,Loblolly/Shortleaf Pine,15,375404,818
15715,Oak/Hickory,752,1690645,3797
15715,Oak/Gum/Cypress,16,57335,221
15718,Oak/Hickory,76,1690645,3797
15719,Oak/Hickory,15,1690645,3797
15722,Oak/Hickory,15,1690645,3797
15727,Oak/Hickory,45,1690645,3797
15727,Elm/Ash/Cottonwood,15,18885,248
15727,Maple/Beech/Birch,17,116427,163
15729,Oak/Hickory,93,1690645,3797
15730,Oak/Hickory,16,1690645,3797
15731,Oak/Hickory,31,1690645,3797
15732,Oak/Hickory,16,1690645,3797
15732,Elm/Ash/Cottonwood,31,18885,248
15734,Oak/Hickory,62,1690645,3797
15735,Maple/Beech/Birch,16,116427,163
15737,Oak/Hickory,15,1690645,3797
15738,Oak/Hickory,15,1690645,3797
15740,Oak/Hickory,31,1690645,3797
15742,Loblolly/Shortleaf Pine,80,375404,818
15742,Pinyon/Juniper,53,283,7
15742,Oak/Pine,61,95892,352
15742,Oak/Hickory,2354,1690645,3797
15742,Oak/Gum/Cypress,7,57335,221
15742,Elm/Ash/Cottonwood,228,18885,248
15743,Oak/Hickory,15,1690645,3797
15747,Oak/Hickory,31,1690645,3797
15750,Oak/Hickory,433,1690645,3797
15751,Oak/Hickory,32,1690645,3797
15753,Oak/Hickory,62,1690645,3797
15754,Loblolly/Shortleaf Pine,32,375404,818
15754,Elm/Ash/Cottonwood,151,18885,248
15756,Oak/Hickory,15,1690645,3797
15756,Elm/Ash/Cottonwood,31,18885,248
15758,Oak/Hickory,124,1690645,3797
15759,Oak/Hickory,139,1690645,3797
15760,Oak/Hickory,17,1690645,3797
15761,Oak/Hickory,16,1690645,3797
15762,Oak/Hickory,31,1690645,3797
15767,Oak/Hickory,31,1690645,3797
15771,Oak/Hickory,16,1690645,3797
15774,Oak/Hickory,16,1690645,3797
15775,Oak/Hickory,16,1690645,3797
15776,Oak/Hickory,15,1690645,3797
15777,Oak/Hickory,571,1690645,3797
15777,Oak/Gum/Cypress,16,57335,221
15778,Oak/Hickory,16,1690645,3797
15781,Oak/Hickory,30,1690645,3797
15782,Oak/Hickory,15,1690645,3797
15785,Oak/Hickory,15,1690645,3797
15786,Oak/Hickory,46,1690645,3797
15787,Oak/Hickory,16,1690645,3797
15792,Loblolly/Shortleaf Pine,61,375404,818
15792,Oak/Hickory,32,1690645,3797
15794,Oak/Hickory,30,1690645,3797
15795,Oak/Hickory,16,1690645,3797
15796,Oak/Hickory,31,1690645,3797
15797,Oak/Hickory,244,1690645,3797
15797,Elm/Ash/Cottonwood,16,18885,248
15801,Oak/Hickory,31,1690645,3797
15803,Oak/Hickory,15,1690645,3797
15804,Oak/Hickory,31,1690645,3797
15805,Oak/Hickory,15,1690645,3797
15810,Oak/Hickory,93,1690645,3797
15811,Oak/Hickory,31,1690645,3797
15812,Loblolly/Shortleaf Pine,16,375404,818
15816,Oak/Hickory,15,1690645,3797
15819,Oak/Pine,16,95892,352
15819,Oak/Hickory,2317,1690645,3797
15820,Oak/Hickory,15,1690645,3797
15821,Oak/Hickory,16,1690645,3797
15831,Oak/Hickory,16,1690645,3797
15832,Oak/Hickory,16,1690645,3797
15833,Oak/Hickory,15,1690645,3797
15834,Oak/Hickory,31,1690645,3797
15835,Loblolly/Shortleaf Pine,663,375404,818
15835,Oak/Pine,15,95892,352
15835,Oak/Hickory,975,1690645,3797
15835,Elm/Ash/Cottonwood,30,18885,248
15836,Elm/Ash/Cottonwood,31,18885,248
15839,Oak/Hickory,295,1690645,3797
15840,Oak/Hickory,31,1690645,3797
15841,Oak/Hickory,15,1690645,3797
15843,Oak/Hickory,16,1690645,3797
15847,Oak/Hickory,124,1690645,3797
15850,Loblolly/Shortleaf Pine,16,375404,818
15852,Oak/Hickory,308,1690645,3797
15856,Oak/Hickory,108,1690645,3797
15857,Oak/Hickory,479,1690645,3797
15858,Oak/Pine,15,95892,352
15858,Oak/Hickory,16,1690645,3797
15863,Oak/Hickory,16,1690645,3797
15864,Oak/Hickory,15,1690645,3797
15865,Oak/Hickory,32,1690645,3797
15866,Oak/Hickory,15,1690645,3797
15868,Oak/Hickory,16,1690645,3797
15871,Oak/Hickory,31,1690645,3797
15872,Oak/Hickory,16,1690645,3797
15873,Oak/Hickory,31,1690645,3797
15874,Loblolly/Shortleaf Pine,16,375404,818
15877,Oak/Hickory,15,1690645,3797
15882,Oak/Hickory,62,1690645,3797
15883,Oak/Hickory,30,1690645,3797
15886,Oak/Hickory,15,1690645,3797
15887,Oak/Hickory,323,1690645,3797
15888,Oak/Hickory,603,1690645,3797
15889,Oak/Hickory,15,1690645,3797
15896,Oak/Hickory,15,1690645,3797
15897,Oak/Hickory,15,1690645,3797
15898,Oak/Hickory,1007,1690645,3797
15898,Elm/Ash/Cottonwood,15,18885,248
15906,Oak/Hickory,16,1690645,3797
15907,Maple/Beech/Birch,15,116427,163
15911,Oak/Hickory,16,1690645,3797
15914,Oak/Hickory,16,1690645,3797
15917,Oak/Hickory,15,1690645,3797
15918,Oak/Hickory,2183,1690645,3797
15923,Oak/Hickory,15,1690645,3797
15924,Oak/Hickory,16,1690645,3797
15927,Oak/Hickory,15,1690645,3797
15928,Oak/Hickory,31,1690645,3797
15931,Oak/Hickory,17,1690645,3797
15932,Loblolly/Shortleaf Pine,108,375404,818
15932,Oak/Hickory,215,1690645,3797
15933,Oak/Hickory,16,1690645,3797
15937,Oak/Hickory,14,1690645,3797
15938,Oak/Hickory,77,1690645,3797
15941,Oak/Hickory,31,1690645,3797
15944,Oak/Hickory,16,1690645,3797
15945,Oak/Hickory,16,1690645,3797
15948,Oak/Hickory,15,1690645,3797
15949,Oak/Hickory,15,1690645,3797
15951,Elm/Ash/Cottonwood,15,18885,248
15953,Oak/Hickory,15,1690645,3797
15955,Oak/Hickory,30,1690645,3797
15959,Oak/Hickory,16,1690645,3797
15960,Oak/Hickory,169,1690645,3797
15961,Oak/Hickory,462,1690645,3797
15964,Oak/Hickory,15,1690645,3797
15965,Oak/Hickory,386,1690645,3797
15966,Oak/Hickory,46,1690645,3797
15967,Oak/Hickory,15,1690645,3797
15968,Loblolly/Shortleaf Pine,15,375404,818
15968,Oak/Hickory,1823,1690645,3797
15968,Oak/Gum/Cypress,76,57335,221
15968,Elm/Ash/Cottonwood,63,18885,248
15968,Maple/Beech/Birch,47,116427,163
15969,Oak/Hickory,15,1690645,3797
15970,Oak/Hickory,78,1690645,3797
15971,Oak/Hickory,46,1690645,3797
15973,Oak/Hickory,15,1690645,3797
15975,Oak/Hickory,16,1690645,3797
15976,Oak/Hickory,93,1690645,3797
15981,Oak/Hickory,16,1690645,3797
15982,Oak/Hickory,30,1690645,3797
15983,Oak/Hickory,15,1690645,3797
15985,Oak/Hickory,16,1690645,3797
15986,Oak/Hickory,31,1690645,3797
15989,Oak/Hickory,16,1690645,3797
15990,Loblolly/Shortleaf Pine,15,375404,818
15991,Oak/Hickory,15,1690645,3797
15992,Loblolly/Shortleaf Pine,62,375404,818
15992,Oak/Hickory,76,1690645,3797
15994,Oak/Hickory,16,1690645,3797
15997,Oak/Hickory,16,1690645,3797
15998,Oak/Hickory,93,1690645,3797
16005,Oak/Hickory,139,1690645,3797
16009,Oak/Hickory,15,1690645,3797
16010,Oak/Hickory,48,1690645,3797
16015,Oak/Hickory,17,1690645,3797
16016,Oak/Hickory,45,1690645,3797
16017,Oak/Hickory,31,1690645,3797
16018,Oak/Hickory,1580,1690645,3797
16019,Oak/Hickory,15,1690645,3797
16020,Loblolly/Shortleaf Pine,31,375404,818
16020,Oak/Hickory,651,1690645,3797
16020,Oak/Gum/Cypress,31,57335,221
16021,Oak/Hickory,30,1690645,3797
16024,Oak/Hickory,15,1690645,3797
16025,Oak/Hickory,15,1690645,3797
16028,Oak/Hickory,16,1690645,3797
16033,Oak/Hickory,31,1690645,3797
16034,Oak/Hickory,16,1690645,3797
16037,Oak/Hickory,31,1690645,3797
16038,Oak/Hickory,31,1690645,3797
16041,Oak/Hickory,15,1690645,3797
16045,Oak/Hickory,16,1690645,3797
16049,Oak/Hickory,16,1690645,3797
16050,Oak/Hickory,32,1690645,3797
16051,Oak/Hickory,15,1690645,3797
16053,Oak/Hickory,15,1690645,3797
16055,Oak/Hickory,15,1690645,3797
16063,Oak/Hickory,62,1690645,3797
16064,Oak/Hickory,17,1690645,3797
16068,Oak/Hickory,16,1690645,3797
16070,Oak/Hickory,16,1690645,3797
16071,Oak/Hickory,47,1690645,3797
16072,Loblolly/Shortleaf Pine,77,375404,818
16072,Oak/Hickory,169,1690645,3797
16072,Oak/Gum/Cypress,31,57335,221
16076,Oak/Hickory,31,1690645,3797
16078,Oak/Hickory,339,1690645,3797
16080,Loblolly/Shortleaf Pine,15,375404,818
16080,Elm/Ash/Cottonwood,15,18885,248
16081,Oak/Hickory,15,1690645,3797
16082,Oak/Hickory,46,1690645,3797
16089,Oak/Hickory,16,1690645,3797
16090,Oak/Hickory,47,1690645,3797
16091,Oak/Hickory,16,1690645,3797
16093,Oak/Hickory,16,1690645,3797
16094,Oak/Pine,62,95892,352
16094,Oak/Hickory,15,1690645,3797
16094,Elm/Ash/Cottonwood,47,18885,248
16098,Oak/Hickory,16,1690645,3797
16099,Oak/Hickory,31,1690645,3797
16099,Oak/Gum/Cypress,15,57335,221
16102,Oak/Hickory,16,1690645,3797
16104,Oak/Hickory,46,1690645,3797
16109,Oak/Hickory,47,1690645,3797
16111,Loblolly/Shortleaf Pine,1145,375404,818
16111,Oak/Pine,77,95892,352
16111,Oak/Hickory,2749,1690645,3797
16111,Oak/Gum/Cypress,123,57335,221
16115,Oak/Hickory,277,1690645,3797
16116,Oak/Hickory,16,1690645,3797
16118,Oak/Hickory,16,1690645,3797
16119,Oak/Hickory,15,1690645,3797
16120,Oak/Hickory,15,1690645,3797
16122,Oak/Hickory,864,1690645,3797
16125,Loblolly/Shortleaf Pine,232,375404,818
16125,Oak/Hickory,47,1690645,3797
16125,Elm/Ash/Cottonwood,30,18885,248
16126,Elm/Ash/Cottonwood,31,18885,248
16127,Oak/Hickory,108,1690645,3797
16130,Loblolly/Shortleaf Pine,15,375404,818
16131,Oak/Hickory,15,1690645,3797
16132,Oak/Hickory,77,1690645,3797
16134,Loblolly/Shortleaf Pine,15,375404,818
16134,Oak/Pine,16,95892,352
16134,Oak/Hickory,2470,1690645,3797
16134,Oak/Gum/Cypress,304,57335,221
16134,Elm/Ash/Cottonwood,2,18885,248
16135,Oak/Gum/Cypress,16,57335,221
16140,Oak/Hickory,16,1690645,3797
16142,Oak/Hickory,30,1690645,3797
16143,Oak/Hickory,31,1690645,3797
16144,Oak/Hickory,16,1690645,3797
16147,Loblolly/Shortleaf Pine,15,375404,818
16147,Oak/Hickory,1624,1690645,3797
16147,Oak/Gum/Cypress,46,57335,221
16147,Elm/Ash/Cottonwood,33,18885,248
16147,Maple/Beech/Birch,47,116427,163
16149,Oak/Hickory,47,1690645,3797
16150,Oak/Hickory,45,1690645,3797
16151,Oak/Hickory,16,1690645,3797
16154,Oak/Hickory,30,1690645,3797
16157,Oak/Hickory,45,1690645,3797
16158,Oak/Hickory,31,1690645,3797
16158,Elm/Ash/Cottonwood,15,18885,248
16158,Maple/Beech/Birch,15,116427,163
16159,Oak/Hickory,16,1690645,3797
16160,Oak/Hickory,62,1690645,3797
16164,Oak/Hickory,16,1690645,3797
16166,Oak/Hickory,47,1690645,3797
16168,Loblolly/Shortleaf Pine,370,375404,818
16168,Oak/Hickory,818,1690645,3797
16168,Oak/Gum/Cypress,95,57335,221
16168,Elm/Ash/Cottonwood,46,18885,248
16169,Oak/Hickory,63,1690645,3797
16169,Elm/Ash/Cottonwood,31,18885,248
16170,Oak/Hickory,15,1690645,3797
16172,Oak/Hickory,16,1690645,3797
16173,Oak/Hickory,16,1690645,3797
16174,Oak/Hickory,30,1690645,3797
16175,Loblolly/Shortleaf Pine,16,375404,818
