patch_id,FIA_Group,patch_acres,acres,num_patches
14115,Oak/Hickory,108,1690645,3797
14116,Oak/Hickory,31,1690645,3797
14117,Oak/Hickory,16,1690645,3797
14120,Oak/Hickory,418,1690645,3797
14123,Oak/Hickory,15,1690645,3797
14126,Oak/Hickory,31,1690645,3797
14127,Maple/Beech/Birch,16,116427,163
14128,Oak/Hickory,15,1690645,3797
14129,Maple/Beech/Birch,16,116427,163
14130,Oak/Hickory,15,1690645,3797
14132,Oak/Hickory,32,1690645,3797
14134,Oak/Hickory,15,1690645,3797
14134,Maple/Beech/Birch,31,116427,163
14136,Oak/Hickory,15,1690645,3797
14139,Oak/Hickory,104,1690645,3797
14140,Oak/Hickory,31,1690645,3797
14141,Oak/Hickory,15,1690645,3797
14143,Oak/Hickory,77,1690645,3797
14145,Oak/Hickory,15,1690645,3797
14148,Oak/Hickory,16,1690645,3797
14149,Oak/Hickory,16,1690645,3797
14150,Oak/Hickory,124,1690645,3797
14151,Oak/Hickory,15,1690645,3797
14154,Oak/Hickory,15,1690645,3797
14155,Oak/Hickory,31,1690645,3797
14161,Oak/Hickory,30,1690645,3797
14163,Oak/Hickory,31,1690645,3797
14166,Oak/Hickory,94,1690645,3797
14167,Oak/Hickory,16,1690645,3797
14170,Oak/Hickory,16,1690645,3797
14171,Oak/Hickory,15,1690645,3797
14174,Oak/Hickory,16,1690645,3797
14176,Oak/Hickory,48,1690645,3797
14177,Oak/Hickory,15,1690645,3797
14178,Oak/Hickory,199,1690645,3797
14180,Oak/Hickory,830,1690645,3797
14181,Oak/Hickory,13,1690645,3797
14182,Oak/Hickory,477,1690645,3797
14182,Maple/Beech/Birch,31,116427,163
14183,Oak/Hickory,108,1690645,3797
