patch_id,FIA_Forest_Type,patch_acres,acres,num_patches
12603,White Oak / Red Oak / Hickory,14,115120,329
12603,Sweetgum / Yellow-poplar,11,512092,300
12604,Mixed Upland Hardwoods,78,949111,3291
12605,Sweetgum / Yellow-poplar,6,512092,300
12606,Mixed Upland Hardwoods,15,949111,3291
12607,Post Oak / Blackjack Oak,46,8206,99
12607,Yellow-poplar / White Oak / Red Oak,32,16541,139
12607,Mixed Upland Hardwoods,16,949111,3291
12608,White Oak / Red Oak / Hickory,31,115120,329
12608,Sweetgum / Yellow-poplar,30,512092,300
12610,Mixed Upland Hardwoods,93,949111,3291
12611,Mixed Upland Hardwoods,30,949111,3291
12613,Mixed Upland Hardwoods,31,949111,3291
12614,White Oak,15,9348,53
12615,Chestnut Oak,31,32022,87
12616,Sweetgum / Yellow-poplar,31,512092,300
12616,Black Cherry,16,77569,93
12617,Post Oak / Blackjack Oak,214,8206,99
12617,Yellow-poplar / White Oak / Red Oak,924,16541,139
12617,Yellow-poplar,359,30149,211
12617,Mixed Upland Hardwoods,2191,949111,3291
12617,Sugar Maple / Beech / Yellow Birch,16,38274,63
12618,Mixed Upland Hardwoods,31,949111,3291
12619,Mixed Upland Hardwoods,62,949111,3291
12620,Mixed Upland Hardwoods,31,949111,3291
12621,Sweetgum / Yellow-poplar,16,512092,300
12622,Sweetgum / Yellow-poplar,16,512092,300
12622,Mixed Upland Hardwoods,16,949111,3291
12624,Yellow-poplar,387,30149,211
12624,Mixed Upland Hardwoods,278,949111,3291
12624,Cottonwood,218,1175,15
12625,Mixed Upland Hardwoods,30,949111,3291
12626,Black Cherry,15,77569,93
12628,Sweetgum / Yellow-poplar,16,512092,300
12629,Mixed Upland Hardwoods,62,949111,3291
12630,Mixed Upland Hardwoods,32,949111,3291
12631,Sweetgum / Yellow-poplar,17,512092,300
12632,Sweetgum / Yellow-poplar,16,512092,300
12633,Mixed Upland Hardwoods,61,949111,3291
12635,Sweetgum / Yellow-poplar,15,512092,300
12636,Mixed Upland Hardwoods,17,949111,3291
12638,Mixed Upland Hardwoods,15,949111,3291
12639,Sweetgum / Yellow-poplar,31,512092,300
12640,Mixed Upland Hardwoods,60,949111,3291
12641,Mixed Upland Hardwoods,107,949111,3291
12642,Mixed Upland Hardwoods,15,949111,3291
12644,Mixed Upland Hardwoods,16,949111,3291
12645,Mixed Upland Hardwoods,16,949111,3291
12646,Mixed Upland Hardwoods,31,949111,3291
12647,Mixed Upland Hardwoods,15,949111,3291
12648,Sweetgum / Yellow-poplar,16,512092,300
12649,White Oak / Red Oak / Hickory,31,115120,329
12650,Mixed Upland Hardwoods,15,949111,3291
12651,White Oak / Red Oak / Hickory,15,115120,329
12651,Sweetgum / Yellow-poplar,61,512092,300
12652,Sweetgum / Yellow-poplar,15,512092,300
12653,Post Oak / Blackjack Oak,15,8206,99
12653,Yellow-poplar / White Oak / Red Oak,93,16541,139
12653,Yellow-poplar,296,30149,211
12653,Mixed Upland Hardwoods,1692,949111,3291
12654,Sweetgum / Yellow-poplar,15,512092,300
12655,White Oak,16,9348,53
12656,Mixed Upland Hardwoods,31,949111,3291
12657,Mixed Upland Hardwoods,62,949111,3291
12658,Post Oak / Blackjack Oak,16,8206,99
12658,Red Maple / Upland,16,584,18
12661,Mixed Upland Hardwoods,14,949111,3291
12662,Yellow-poplar / White Oak / Red Oak,15,16541,139
12662,Yellow-poplar,31,30149,211
12662,Mixed Upland Hardwoods,172,949111,3291
12663,Yellow-poplar,16,30149,211
12665,Sweetgum / Yellow-poplar,16,512092,300
12666,Mixed Upland Hardwoods,16,949111,3291
12667,Yellow-poplar / White Oak / Red Oak,342,16541,139
12667,Yellow-poplar,690,30149,211
12667,Mixed Upland Hardwoods,1511,949111,3291
12667,Sugar Maple / Beech / Yellow Birch,16,38274,63
12668,Sweetgum / Yellow-poplar,16,512092,300
12669,Mixed Upland Hardwoods,15,949111,3291
12670,Mixed Upland Hardwoods,16,949111,3291
12672,Sweetgum / Yellow-poplar,16,512092,300
12673,Sweetgum / Yellow-poplar,15,512092,300
12674,Mixed Upland Hardwoods,15,949111,3291
12675,Mixed Upland Hardwoods,15,949111,3291
12677,Chestnut Oak,16,32022,87
12678,Yellow-poplar,168,30149,211
