patch_id,FIA_Forest_Type,patch_acres,acres,num_patches
13020,Yellow-poplar / White Oak / Red Oak,78,16541,139
13020,Yellow-poplar,16,30149,211
13020,Mixed Upland Hardwoods,138,949111,3291
13024,Post Oak / Blackjack Oak,29,8206,99
13024,Mixed Upland Hardwoods,107,949111,3291
13025,Mixed Upland Hardwoods,15,949111,3291
13027,Mixed Upland Hardwoods,124,949111,3291
13028,Yellow-poplar,46,30149,211
13028,Mixed Upland Hardwoods,46,949111,3291
13030,Mixed Upland Hardwoods,16,949111,3291
13032,White Oak / Red Oak / Hickory,0,115120,329
13035,Mixed Upland Hardwoods,29,949111,3291
13038,Post Oak / Blackjack Oak,15,8206,99
13038,Yellow-poplar,289,30149,211
13038,Mixed Upland Hardwoods,306,949111,3291
13038,Sugar Maple / Beech / Yellow Birch,46,38274,63
13038,Red Maple / Upland,16,584,18
13039,Chestnut Oak,15,32022,87
